Company index,Quoted,Country ISO code,NACE2,Operating revenue EU (Turnover LAY),Number of employees (LAY),Size classification,DPO,Purpose,Acquired data,Data sharing,Rights
2518,No,NL,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,11403837.0,284.0,Large or Very large company,1,1,1,1,1
2520,No,ES,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,2765586.41,168.0,Large or Very large company,0,0,0,0,0
2521,No,NL,FINANCIAL AND INSURANCE ACTIVITIES,399647000.0,1262.0,Large or Very large company,0,1,0,1,0
2522,No,FR,FINANCIAL AND INSURANCE ACTIVITIES,0.0,,Large or Very large company,1,1,1,1,1
2523,No,FR,FINANCIAL AND INSURANCE ACTIVITIES,138394000.0,286.0,Large or Very large company,0,1,1,1,1
2525,No,DE,MANUFACTURING,,470.0,Large or Very large company,1,0,0,0,1
2526,No,FR,MANUFACTURING,735658000.0,1696.0,Large or Very large company,1,1,1,1,1
2527,No,IT,FINANCIAL AND INSURANCE ACTIVITIES,24701344.0,,Large or Very large company,1,1,0,1,1
2528,No,IT,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,90618584.0,39.0,Large or Very large company,0,1,1,0,0
2529,No,DE,TRANSPORTATION AND STORAGE,4100000.0,17300.0,Large or Very large company,1,0,1,0,1
2530,No,BE,MANUFACTURING,24241667.0,29.0,Large or Very large company,1,1,0,0,1
2533,No,FI,FINANCIAL AND INSURANCE ACTIVITIES,40990000.0,,Large or Very large company,0,0,0,0,0
2534,No,SK,MANUFACTURING,27091765.0,,Large or Very large company,0,1,1,0,1
2535,No,NL,FINANCIAL AND INSURANCE ACTIVITIES,101603258.507935,3.0,Large or Very large company,0,0,0,1,1
2536,No,NL,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,,41.0,Large or Very large company,1,1,1,1,1
2538,No,SE,TRANSPORTATION AND STORAGE,969289.030409405,17.0,Large or Very large company,1,1,1,1,1
2539,No,FR,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",53389616.0,166.0,Large or Very large company,0,1,0,1,0
2540,No,PL,MANUFACTURING,24639879.2170662,273.0,Large or Very large company,1,1,0,1,1
2541,No,DE,TRANSPORTATION AND STORAGE,11136858.9,68.0,Large or Very large company,1,1,1,1,1
2542,No,NL,FINANCIAL AND INSURANCE ACTIVITIES,220876648.930293,3.0,Large or Very large company,0,1,0,1,0
2543,No,IE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,97198000.0,59.0,Large or Very large company,1,1,1,1,1
2544,No,EE,FINANCIAL AND INSURANCE ACTIVITIES,,,Large or Very large company,1,1,1,0,1
2545,Yes,ES,FINANCIAL AND INSURANCE ACTIVITIES,,,Large or Very large company,1,1,0,0,1
2547,No,SE,INFORMATION AND COMMUNICATION,13652559.4757231,12.0,Large or Very large company,0,1,0,1,0
2548,No,IE,REAL ESTATE ACTIVITIES,51697000.0,748.0,Large or Very large company,1,1,1,1,1
2549,No,FR,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,15158861.0,,Large or Very large company,1,0,1,0,1
2550,No,SE,OTHER SERVICE ACTIVITIES,,150.0,Large or Very large company,1,1,1,0,1
2551,Yes,NL,TRANSPORTATION AND STORAGE,3412000000.0,40541.0,Large or Very large company,0,1,0,0,0
2552,No,PL,MANUFACTURING,29047408.4573557,119.0,Large or Very large company,0,0,0,0,0
2553,No,SE,MANUFACTURING,69708020.1498104,106.0,Large or Very large company,1,1,1,1,1
2554,No,DE,FINANCIAL AND INSURANCE ACTIVITIES,148504456.74,3891.0,Large or Very large company,1,0,0,1,1
2555,No,NL,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",30959000.0,128.0,Large or Very large company,1,1,1,1,1
2556,No,SE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,16643992.5676966,9.0,Large or Very large company,1,1,1,1,1
2557,No,PL,MANUFACTURING,64837161.529029,,Large or Very large company,1,1,0,1,1
2558,No,NL,MANUFACTURING,,113.0,Large or Very large company,1,1,0,1,1
2559,No,IT,MANUFACTURING,27091295.0,55.0,Large or Very large company,1,0,0,0,0
2560,No,AT,FINANCIAL AND INSURANCE ACTIVITIES,358543000.0,3863.0,Large or Very large company,1,0,0,1,0
2561,No,IE,REAL ESTATE ACTIVITIES,,26.0,Large or Very large company,1,1,1,0,1
2563,No,BE,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,570589000.0,3022.0,Large or Very large company,0,0,0,0,0
2564,No,LU,FINANCIAL AND INSURANCE ACTIVITIES,1513183.0,,Large or Very large company,1,1,1,1,1
2565,No,FR,MANUFACTURING,177231014.0,301.0,Large or Very large company,1,1,0,1,1
2566,No,AT,FINANCIAL AND INSURANCE ACTIVITIES,,6.0,Large or Very large company,1,1,1,1,1
2567,No,ES,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,208772874.0,6535.0,Large or Very large company,1,1,0,1,1
2568,No,FI,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,34223000.0,86.0,Large or Very large company,0,1,1,1,1
2569,No,DE,MANUFACTURING,60089929.23,37.0,Large or Very large company,1,1,1,1,1
2570,No,FR,MANUFACTURING,12202002.0,50.0,Large or Very large company,1,0,1,1,1
2571,No,BE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,11358162.0,,Large or Very large company,1,1,0,1,1
2572,No,AT,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",51330703.99,82.0,Large or Very large company,1,0,1,0,0
2573,No,BE,INFORMATION AND COMMUNICATION,29369923.0,182.0,Large or Very large company,0,0,0,0,0
2574,No,DE,FINANCIAL AND INSURANCE ACTIVITIES,,266.0,Large or Very large company,0,0,0,0,0
2575,No,IE,MANUFACTURING,160734000.0,384.0,Large or Very large company,1,1,1,1,1
2576,No,DK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,157.0,Large or Very large company,1,1,1,1,1
2577,No,LU,FINANCIAL AND INSURANCE ACTIVITIES,,,Large or Very large company,0,0,0,0,0
2578,No,NL,FINANCIAL AND INSURANCE ACTIVITIES,,1.0,Large or Very large company,1,1,0,1,0
2579,No,ES,MANUFACTURING,106237000.0,49.0,Large or Very large company,1,0,1,0,1
2580,No,BG,MANUFACTURING,13184110.9107075,154.0,Large or Very large company,1,1,1,1,1
2581,No,CZ,MANUFACTURING,31084319.4375631,,Large or Very large company,0,0,0,0,0
2582,No,DE,CONSTRUCTION,,670.0,Large or Very large company,1,0,0,0,1
2583,No,FI,CONSTRUCTION,2389666863.0,4026.0,Large or Very large company,1,0,1,1,1
2584,No,IT,"AGRICULTURE, FORESTRY AND FISHING",115425653.0,195.0,Large or Very large company,1,0,1,0,1
2585,No,FR,INFORMATION AND COMMUNICATION,22339903.0,117.0,Large or Very large company,1,1,1,1,1
2586,No,IE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,13529199.0,29.0,Large or Very large company,1,1,1,1,1
2587,No,BE,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,66901036.0,15.0,Large or Very large company,0,1,1,1,1
2588,No,AT,EDUCATION,28050159.6,,Large or Very large company,1,0,0,0,1
2589,No,NL,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,,Large or Very large company,1,1,1,1,1
2590,No,IT,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,16690138.0,19.0,Large or Very large company,1,1,0,1,0
2591,Yes,ES,FINANCIAL AND INSURANCE ACTIVITIES,8.4,,Large or Very large company,1,1,0,0,1
2592,Yes,NL,MANUFACTURING,9140000000.0,23127.0,Large or Very large company,0,1,0,0,0
2593,No,DE,MANUFACTURING,,146.0,Large or Very large company,1,0,0,0,1
2594,No,SE,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,12592333.7892907,91.0,Large or Very large company,0,0,0,1,0
2595,No,DE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,48285224.79,56.0,Large or Very large company,1,0,0,0,1
2596,No,IE,OTHER SERVICE ACTIVITIES,15718739.0,24.0,Large or Very large company,1,1,1,1,1
2597,No,ES,MANUFACTURING,57711494.0,59.0,Large or Very large company,0,0,0,1,0
2598,No,HU,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,10071907.0119942,21.0,Large or Very large company,0,1,0,1,0
2599,No,HU,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,11687606.4508609,37.0,Large or Very large company,0,1,1,1,1
2600,No,SE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,31550616.3913748,,Large or Very large company,1,0,1,0,0
2601,No,DE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,,106.0,Large or Very large company,1,1,0,0,1
2602,No,IE,INFORMATION AND COMMUNICATION,18778157.0,,Large or Very large company,1,1,1,1,1
2603,No,NL,FINANCIAL AND INSURANCE ACTIVITIES,,,Large or Very large company,1,1,1,1,1
2604,No,FR,FINANCIAL AND INSURANCE ACTIVITIES,5023387.0,7.0,Large or Very large company,1,1,1,1,1
2605,No,IT,FINANCIAL AND INSURANCE ACTIVITIES,131625027.0,601.0,Large or Very large company,0,0,1,0,0
2606,No,SE,INFORMATION AND COMMUNICATION,73309781.787892,168.0,Large or Very large company,1,1,1,1,1
2607,No,ES,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,30209942.47,59.0,Large or Very large company,1,1,0,0,1
2608,No,IT,REAL ESTATE ACTIVITIES,,,Large or Very large company,1,0,1,1,0
2609,No,DK,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,24668703.3215294,32.0,Large or Very large company,1,1,0,1,1
2610,No,FI,MANUFACTURING,49222000.0,54.0,Large or Very large company,1,1,1,1,1
2612,No,IT,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",143182886.0,200.0,Large or Very large company,1,1,1,0,1
2613,No,ES,MANUFACTURING,11066073.469,49.0,Large or Very large company,1,0,0,0,0
2614,No,DE,MANUFACTURING,48716601.88,171.0,Large or Very large company,1,1,0,1,1
2616,No,DE,FINANCIAL AND INSURANCE ACTIVITIES,291768.23,,Large or Very large company,1,1,0,1,1
2617,Yes,ES,REAL ESTATE ACTIVITIES,14418000.0,50.0,Large or Very large company,1,0,1,1,1
2618,No,DE,TRANSPORTATION AND STORAGE,46334792.7,741.0,Large or Very large company,1,1,1,1,1
2619,No,SE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",27472442.3985285,191.0,Large or Very large company,1,1,1,1,1
2620,No,LU,FINANCIAL AND INSURANCE ACTIVITIES,,,Large or Very large company,0,1,0,1,0
2621,No,NL,FINANCIAL AND INSURANCE ACTIVITIES,91968000.0,66.0,Large or Very large company,1,1,1,1,1
2622,No,FR,FINANCIAL AND INSURANCE ACTIVITIES,15692.0,,Large or Very large company,1,1,1,1,1
2623,No,IE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,2957689.0,1.0,Large or Very large company,1,1,1,1,1
2624,No,DK,MINING AND QUARRYING,72882330.976925,,Large or Very large company,1,1,1,1,1
2625,No,AT,TRANSPORTATION AND STORAGE,82669918.41,230.0,Large or Very large company,1,1,0,0,1
2626,No,BE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",96216000.0,60.0,Large or Very large company,0,0,0,0,1
2627,No,FI,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,10648000.0,85.0,Large or Very large company,0,1,1,0,1
2628,No,IE,"AGRICULTURE, FORESTRY AND FISHING",,2.0,Large or Very large company,1,1,1,1,1
2629,No,IT,"AGRICULTURE, FORESTRY AND FISHING",43149000.0,97.0,Large or Very large company,1,0,1,1,1
2630,No,IE,No Information,785823074.227791,428.0,Large or Very large company,1,0,0,0,1
2631,No,IT,MANUFACTURING,50102123.0,118.0,Large or Very large company,1,0,1,1,1
2632,Yes,ES,FINANCIAL AND INSURANCE ACTIVITIES,,,Large or Very large company,1,1,0,0,1
2633,Yes,SE,MANUFACTURING,697611.647660617,25.0,Large or Very large company,1,1,1,1,1
2634,No,PL,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,37995367.867484,273.0,Large or Very large company,1,1,1,0,1
2636,No,IT,MANUFACTURING,230237109.0,587.0,Large or Very large company,1,0,1,1,1
2637,No,BE,FINANCIAL AND INSURANCE ACTIVITIES,,,Large or Very large company,1,1,1,1,1
2638,No,ES,MANUFACTURING,23517367.18,54.0,Large or Very large company,1,0,1,0,1
2639,No,DE,MANUFACTURING,757626660.07,2078.0,Large or Very large company,1,0,0,0,1
2640,No,SE,FINANCIAL AND INSURANCE ACTIVITIES,162441584.495829,7.0,Large or Very large company,0,1,1,0,0
2641,No,DE,MANUFACTURING,26605812.3,140.0,Large or Very large company,1,1,1,1,1
2642,No,FR,MANUFACTURING,79422053.0,,Large or Very large company,1,1,1,1,1
2643,No,DE,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,,600.0,Large or Very large company,0,1,1,0,0
2644,No,DE,MANUFACTURING,59156240.03,26.0,Large or Very large company,0,0,0,1,0
2645,No,IT,MANUFACTURING,200397000.0,594.0,Large or Very large company,1,1,0,0,1
2646,No,IT,MANUFACTURING,22671114.0,70.0,Large or Very large company,1,0,1,0,0
2647,No,ES,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",12112083.01,33.0,Large or Very large company,1,0,0,0,1
2648,No,BE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",30374.0,,Large or Very large company,1,1,1,1,0
2649,No,CZ,INFORMATION AND COMMUNICATION,44585391.1522392,,Large or Very large company,1,1,1,0,0
2650,Yes,ES,FINANCIAL AND INSURANCE ACTIVITIES,107.73,,Large or Very large company,1,1,0,0,1
2651,No,IE,MANUFACTURING,30645929.0,106.0,Large or Very large company,1,1,1,1,1
2652,No,DE,MANUFACTURING,369698439.54,2285.0,Large or Very large company,1,0,1,1,1
2653,No,DE,MANUFACTURING,55523148.41,234.0,Large or Very large company,1,1,0,1,1
2654,Yes,FI,MANUFACTURING,92673000.0,261.0,Large or Very large company,1,1,1,1,1
2655,No,DK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,,Large or Very large company,1,1,1,1,1
2656,No,BE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",30485062.0,32.0,Large or Very large company,0,0,0,0,1
2657,No,NL,FINANCIAL AND INSURANCE ACTIVITIES,,,Large or Very large company,0,0,0,0,0
2658,No,NL,FINANCIAL AND INSURANCE ACTIVITIES,,,Large or Very large company,1,1,1,1,1
2659,No,FR,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,39061250.0,75.0,Large or Very large company,1,1,1,1,1
2660,No,BG,MANUFACTURING,269275213.996832,687.0,Large or Very large company,1,1,0,0,1
2661,No,IT,INFORMATION AND COMMUNICATION,30600694.0,58.0,Large or Very large company,1,0,1,1,1
2662,No,ES,TRANSPORTATION AND STORAGE,10532889.02,,Large or Very large company,1,1,1,1,1
2663,No,IT,MANUFACTURING,10766726.0,40.0,Large or Very large company,1,1,0,0,0
2664,No,HU,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,19374431.7459226,49.0,Large or Very large company,1,1,1,1,1
2665,No,SI,INFORMATION AND COMMUNICATION,20166484.56,17.0,Large or Very large company,1,1,1,0,0
2666,Yes,ES,FINANCIAL AND INSURANCE ACTIVITIES,,,Large or Very large company,1,1,0,0,1
2667,No,FI,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,807978000.0,1174.0,Large or Very large company,1,1,1,1,1
2668,No,PL,INFORMATION AND COMMUNICATION,12931940.1853463,180.0,Large or Very large company,0,1,1,0,1
2671,No,IT,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",191000.0,5.0,Large or Very large company,0,0,0,1,0
2672,No,DK,INFORMATION AND COMMUNICATION,5083133.20517677,5.0,Large or Very large company,0,0,0,1,1
2673,No,ES,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,13219102.5,7.0,Large or Very large company,1,1,1,1,1
2674,No,DE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,57.0,Large or Very large company,1,1,0,0,0
2675,No,NL,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,193.0,Large or Very large company,1,1,1,1,1
2676,No,BE,FINANCIAL AND INSURANCE ACTIVITIES,13302917.0,80.0,Large or Very large company,1,0,0,1,1
2677,No,SE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",169126960.278252,166.0,Large or Very large company,0,1,0,0,0
2680,No,ES,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,2490348.0,6.0,Large or Very large company,0,1,1,0,0
2681,No,IE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,15599361.0,55.0,Large or Very large company,0,1,1,1,0
2682,No,DE,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",29414628.24,83.0,Large or Very large company,1,1,1,1,1
2684,No,LU,FINANCIAL AND INSURANCE ACTIVITIES,,,Large or Very large company,0,0,0,1,0
2685,No,DE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,33000000.0,5.0,Large or Very large company,1,0,0,0,1
2686,Yes,HR,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",25250087.6629033,597.0,Large or Very large company,1,0,0,0,1
2687,No,BE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,67569115.0,46.0,Large or Very large company,1,1,0,1,1
2688,No,DE,MANUFACTURING,16688968.27,137.0,Large or Very large company,1,0,0,1,1
2689,No,IT,REAL ESTATE ACTIVITIES,58679136.0,137.0,Large or Very large company,1,0,1,0,1
2690,No,DK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",20785350.6257745,54.0,Large or Very large company,1,1,1,1,1
2691,No,IE,TRANSPORTATION AND STORAGE,22014209.0,23.0,Large or Very large company,1,1,1,1,1
2692,No,SE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",4637960.90276481,10.0,Large or Very large company,1,1,1,0,1
2693,No,EE,TRANSPORTATION AND STORAGE,43589000.0,165.0,Large or Very large company,1,0,1,0,1
2694,No,FR,INFORMATION AND COMMUNICATION,43147132.0,129.0,Large or Very large company,1,1,1,1,1
2695,No,BE,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,404385444.0,5710.0,Large or Very large company,1,1,1,1,1
2696,No,DE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,496304789.12,26.0,Large or Very large company,1,1,1,1,0
2697,No,BE,FINANCIAL AND INSURANCE ACTIVITIES,11692050.0,20.0,Large or Very large company,0,1,0,0,1
2698,No,BE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",11412027.0,25.0,Large or Very large company,1,0,1,1,1
2699,No,DE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,40405000.0,136.0,Large or Very large company,0,0,0,1,1
2700,No,IT,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,14890142.0,37.0,Large or Very large company,1,0,1,0,0
2701,No,FR,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",14436270.0,38.0,Large or Very large company,0,0,0,0,0
2702,No,IT,MANUFACTURING,14498496.0,66.0,Large or Very large company,1,1,0,0,0
2703,No,IT,MANUFACTURING,12074921.0,31.0,Large or Very large company,0,0,0,0,0
2704,No,AT,MANUFACTURING,352349246.85,307.0,Large or Very large company,0,0,1,1,1
2705,No,IE,CONSTRUCTION,17095329.0,56.0,Large or Very large company,1,0,1,1,1
2706,No,FR,REAL ESTATE ACTIVITIES,17241769.0,23.0,Large or Very large company,1,0,1,0,1
2707,No,NL,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,56291277.0,,Large or Very large company,1,0,1,1,1
2709,No,PT,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",24849167.73,6.0,Large or Very large company,1,1,1,1,1
2711,No,HU,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",283500.197370938,3.0,Large or Very large company,0,1,1,0,0
2712,No,SE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,45209110.6804383,95.0,Large or Very large company,1,0,1,1,1
2713,No,IE,FINANCIAL AND INSURANCE ACTIVITIES,36632000.0,296.0,Large or Very large company,0,0,1,0,0
2714,No,IT,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",667597346.0,431.0,Large or Very large company,1,1,0,1,1
2715,Yes,ES,FINANCIAL AND INSURANCE ACTIVITIES,,,Large or Very large company,1,1,0,0,1
2716,No,IT,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,48719292.0,48.0,Large or Very large company,1,1,0,1,1
2717,Yes,BE,REAL ESTATE ACTIVITIES,278714000.0,132.0,Large or Very large company,1,1,1,1,1
2718,No,SK,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,127637039.0,,Large or Very large company,0,0,0,0,1
2719,No,FR,TRANSPORTATION AND STORAGE,17508093.0,43.0,Large or Very large company,1,1,1,1,0
2720,No,ES,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,26401993.0,37.0,Large or Very large company,1,0,0,1,0
2721,No,FR,TRANSPORTATION AND STORAGE,42068645.0,111.0,Large or Very large company,1,1,1,1,1
2723,No,PL,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,47716083.7142649,59.0,Large or Very large company,0,0,0,1,1
2724,No,NL,FINANCIAL AND INSURANCE ACTIVITIES,,,Large or Very large company,1,1,1,1,1
2725,No,IE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,,Large or Very large company,1,1,1,0,0
2726,No,NL,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,30415000.0,22.0,Large or Very large company,1,1,1,1,0
2727,No,IT,"AGRICULTURE, FORESTRY AND FISHING",11029836.0,110.0,Large or Very large company,1,0,0,1,1
2728,No,FI,TRANSPORTATION AND STORAGE,28484000.0,,Large or Very large company,1,1,1,1,1
2729,No,SE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",2014581.96069488,5.0,Large or Very large company,0,1,1,1,1
2730,No,IT,FINANCIAL AND INSURANCE ACTIVITIES,623493.0,7.0,Large or Very large company,1,1,1,1,1
2731,No,IE,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,20638154.0,79.0,Large or Very large company,1,1,1,1,1
2732,No,DE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,,99.0,Large or Very large company,1,0,1,1,1
2733,Yes,ES,FINANCIAL AND INSURANCE ACTIVITIES,296.13,,Large or Very large company,1,1,0,0,1
2734,No,FR,TRANSPORTATION AND STORAGE,16730476.0,152.0,Large or Very large company,1,1,0,1,1
2735,No,NL,FINANCIAL AND INSURANCE ACTIVITIES,,,Large or Very large company,1,1,0,1,1
2736,No,EE,CONSTRUCTION,11355991.0,19.0,Large or Very large company,1,1,1,1,1
2737,No,FR,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,41978943.0,50.0,Large or Very large company,1,1,1,1,1
2739,No,SE,FINANCIAL AND INSURANCE ACTIVITIES,39976934.4456121,241.0,Large or Very large company,1,0,0,0,1
2740,No,DE,MANUFACTURING,,1931.0,Large or Very large company,0,1,0,1,0
2741,No,ES,FINANCIAL AND INSURANCE ACTIVITIES,48478242.0,4.0,Large or Very large company,0,0,1,0,0
2742,No,IT,MANUFACTURING,11989202.0,117.0,Large or Very large company,0,0,0,0,0
2743,No,HU,FINANCIAL AND INSURANCE ACTIVITIES,419276466.394112,,Large or Very large company,0,1,1,1,0
2744,No,IE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,18785294.0,26.0,Large or Very large company,0,0,0,1,0
2745,No,IE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",12647739.0,57.0,Large or Very large company,1,1,1,1,1
2746,No,ES,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,16470823.41,14.0,Large or Very large company,0,1,1,0,0
2747,No,SE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,65169515.231896,87.0,Large or Very large company,1,1,1,1,1
2748,No,DE,MANUFACTURING,84069341.62,335.0,Large or Very large company,1,0,1,0,1
2749,No,NL,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,,,Large or Very large company,1,0,1,1,1
2750,No,DE,MANUFACTURING,65935193.7,169.0,Large or Very large company,1,1,0,1,1
2751,No,IT,MANUFACTURING,33670893.0,41.0,Large or Very large company,1,1,1,0,1
2752,No,EE,INFORMATION AND COMMUNICATION,10411563.0,7.0,Large or Very large company,0,0,1,1,0
2753,No,DK,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,11992071.5354384,7.0,Large or Very large company,1,1,1,1,1
2754,No,PL,MANUFACTURING,15794115.2307183,221.0,Large or Very large company,1,1,1,1,1
2755,No,AT,MANUFACTURING,,135.0,Large or Very large company,0,1,0,1,0
2756,No,SE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,18346805.3824263,27.0,Large or Very large company,1,0,1,1,1
2757,No,SE,MANUFACTURING,123599092.687754,618.0,Large or Very large company,0,1,1,1,1
2758,No,DK,TRANSPORTATION AND STORAGE,,,Large or Very large company,1,1,1,1,1
2759,No,DE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,225.0,Large or Very large company,0,0,0,0,0
2760,No,ES,FINANCIAL AND INSURANCE ACTIVITIES,1999969.48,2.0,Large or Very large company,1,1,0,0,1
2761,No,EE,REAL ESTATE ACTIVITIES,3515691.0,,Large or Very large company,1,1,1,1,1
2763,No,FI,CONSTRUCTION,112646000.0,101.0,Large or Very large company,0,1,1,1,1
2764,No,AT,MANUFACTURING,18604430.99,120.0,Large or Very large company,1,1,0,1,1
2766,Yes,DE,FINANCIAL AND INSURANCE ACTIVITIES,154760000.0,319.0,Large or Very large company,1,1,1,0,1
2768,No,FI,MANUFACTURING,11092000.0,39.0,Large or Very large company,1,1,1,1,1
