Company index,Quoted,Country ISO code,NACE2,Operating revenue EU (Turnover LAY),Number of employees (LAY),Size classification,DPO,Purpose,Acquired data,Data sharing,Rights
62,No,BE,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,12726870.0,208.0,Large or Very large company,1,1,1,1,1
64,No,DK,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,,66.0,Large or Very large company,1,1,1,1,1
65,No,DE,INFORMATION AND COMMUNICATION,,115.0,Large or Very large company,0,0,1,1,1
66,No,ES,MANUFACTURING,25585283.0,248.0,Large or Very large company,0,0,0,0,1
67,No,IE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,89671381.0,157.0,Large or Very large company,1,1,1,1,1
68,No,DE,MANUFACTURING,,171.0,Large or Very large company,1,1,1,1,0
69,No,CZ,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,20010052.5253929,,Large or Very large company,1,1,1,1,1
70,Yes,ES,FINANCIAL AND INSURANCE ACTIVITIES,90.08,,Large or Very large company,1,1,0,0,1
71,No,DE,MANUFACTURING,87104801.01,433.0,Large or Very large company,1,0,1,0,1
72,No,AT,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",158302171.33,,Large or Very large company,1,1,0,0,0
73,No,DK,FINANCIAL AND INSURANCE ACTIVITIES,2792109787.42987,19052.0,Large or Very large company,1,1,1,1,1
74,No,DE,CONSTRUCTION,19357268.85,55.0,Large or Very large company,1,1,1,0,1
75,No,DE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",162269916.0,1222.0,Large or Very large company,1,0,0,0,1
76,No,MT,No Information,1538190.0,,Large or Very large company,1,1,1,1,0
77,Yes,ES,FINANCIAL AND INSURANCE ACTIVITIES,,,Large or Very large company,1,1,0,0,1
79,No,IT,MANUFACTURING,42532515.0,119.0,Large or Very large company,0,0,0,0,0
80,No,AT,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,4.0,Large or Very large company,0,0,0,1,1
82,No,FR,MANUFACTURING,73270014.0,26.0,Large or Very large company,1,1,1,1,1
83,Yes,ES,FINANCIAL AND INSURANCE ACTIVITIES,422.01,,Large or Very large company,1,1,0,0,1
85,No,PL,OTHER SERVICE ACTIVITIES,13929048.7467264,575.0,Large or Very large company,0,0,0,1,0
86,No,FR,FINANCIAL AND INSURANCE ACTIVITIES,86780657.0,226.0,Large or Very large company,1,1,1,1,1
88,No,DE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",21748911.74,269.0,Large or Very large company,0,0,0,0,1
89,No,FR,REAL ESTATE ACTIVITIES,38800520.0,,Large or Very large company,1,0,0,1,1
90,No,FR,CONSTRUCTION,3077959.0,,Large or Very large company,1,0,1,0,0
91,Yes,DE,INFORMATION AND COMMUNICATION,28625000.0,127.0,Large or Very large company,1,0,0,0,1
92,No,IT,MANUFACTURING,18316087.0,69.0,Large or Very large company,0,0,0,0,0
93,No,SE,CONSTRUCTION,10581867.9088158,20.0,Large or Very large company,1,1,1,1,1
94,No,DE,MANUFACTURING,2988881.72,160.0,Large or Very large company,1,0,0,0,1
95,No,FR,INFORMATION AND COMMUNICATION,23715684.0,119.0,Large or Very large company,1,1,1,1,1
96,No,FR,FINANCIAL AND INSURANCE ACTIVITIES,0.0,,Large or Very large company,1,1,1,1,1
97,No,FI,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,15000000.0,2.0,Large or Very large company,1,1,1,1,1
98,No,DE,MANUFACTURING,12913310.0,39.0,Large or Very large company,1,0,0,0,1
99,No,ES,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",143851025.28,12.0,Large or Very large company,0,0,1,1,0
100,No,CZ,MANUFACTURING,65708233.813085,,Large or Very large company,1,0,1,1,1
101,No,AT,MANUFACTURING,,23.0,Large or Very large company,1,1,1,1,1
102,No,GR,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",12096113.0,71.0,Large or Very large company,1,1,1,1,1
103,No,DK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",284558348.776539,1534.0,Large or Very large company,0,0,0,0,0
106,No,DE,MANUFACTURING,25697744.01,114.0,Large or Very large company,0,0,0,1,1
108,No,IT,MANUFACTURING,32569380.0,133.0,Large or Very large company,1,1,1,1,0
109,No,IE,No Information,175372390.0,197.0,Large or Very large company,1,0,1,1,1
110,No,BE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,35694722.0,15.0,Large or Very large company,1,1,1,1,1
113,No,IE,FINANCIAL AND INSURANCE ACTIVITIES,133648515.711863,,Large or Very large company,1,1,0,0,1
114,No,PL,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",28823562.9763689,,Large or Very large company,0,0,0,0,0
115,No,NL,INFORMATION AND COMMUNICATION,59982819.0,,Large or Very large company,0,1,1,1,0
116,No,SE,MANUFACTURING,23522671.1564127,125.0,Large or Very large company,1,1,1,0,1
117,No,AT,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,1.0,Large or Very large company,1,1,1,1,1
118,No,FI,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",76882000.0,99.0,Large or Very large company,1,0,1,1,1
119,No,DE,MANUFACTURING,2164966974.129,9918.0,Large or Very large company,1,1,1,0,1
120,No,PL,MANUFACTURING,23789500.78249,172.0,Large or Very large company,1,1,1,1,0
121,No,SE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",11474868.0827469,61.0,Large or Very large company,1,0,0,1,1
123,No,DE,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,146766197.0,792.0,Large or Very large company,1,0,0,1,1
124,No,BE,MANUFACTURING,10549674.0,23.0,Large or Very large company,1,0,1,0,1
125,No,IE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",15272310.0,17.0,Large or Very large company,1,1,1,1,1
126,No,SE,INFORMATION AND COMMUNICATION,113061448.710605,196.0,Large or Very large company,0,1,1,1,1
127,Yes,FR,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",16774000.0,477.0,Large or Very large company,0,0,0,0,0
128,No,HR,TRANSPORTATION AND STORAGE,11245904.8210053,107.0,Large or Very large company,0,0,0,1,1
129,No,SE,INFORMATION AND COMMUNICATION,16963610.9829185,67.0,Large or Very large company,1,1,1,1,1
130,No,NL,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,,22.0,Large or Very large company,1,0,1,1,0
131,No,IT,FINANCIAL AND INSURANCE ACTIVITIES,0.0,,Large or Very large company,1,1,0,0,0
132,No,FR,CONSTRUCTION,21789711.0,,Large or Very large company,1,1,1,1,1
134,No,DK,TRANSPORTATION AND STORAGE,96220414.9110361,93.0,Large or Very large company,0,1,1,1,1
135,No,FR,FINANCIAL AND INSURANCE ACTIVITIES,48592862.7646645,3.0,Large or Very large company,0,0,0,0,1
136,No,CZ,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",16446008.8457417,,Large or Very large company,1,1,1,1,1
137,No,IE,MANUFACTURING,73081700.0,149.0,Large or Very large company,1,1,1,1,1
138,No,BE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,19381038.0,18.0,Large or Very large company,1,0,0,1,1
139,No,SE,INFORMATION AND COMMUNICATION,11615961.271991,47.0,Large or Very large company,1,1,0,1,1
141,No,DE,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",60594715.8,159.0,Large or Very large company,1,1,1,1,1
142,No,AT,FINANCIAL AND INSURANCE ACTIVITIES,,,Large or Very large company,1,0,0,0,1
143,No,NL,TRANSPORTATION AND STORAGE,121784765.152,,Large or Very large company,1,1,1,1,1
144,No,BE,FINANCIAL AND INSURANCE ACTIVITIES,45053837.0,106.0,Large or Very large company,1,1,1,1,1
145,No,DE,FINANCIAL AND INSURANCE ACTIVITIES,2602000000.0,5437.0,Large or Very large company,0,1,0,1,0
146,No,DE,FINANCIAL AND INSURANCE ACTIVITIES,30922730.8502411,3.0,Large or Very large company,1,1,1,0,0
147,No,SE,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,35111887.2868273,160.0,Large or Very large company,1,1,1,1,1
148,No,NL,FINANCIAL AND INSURANCE ACTIVITIES,198788984.037264,3.0,Large or Very large company,1,1,1,1,1
149,No,DE,MANUFACTURING,57608872.64,209.0,Large or Very large company,1,1,1,1,1
150,No,FR,TRANSPORTATION AND STORAGE,68722857.0,303.0,Large or Very large company,1,1,0,1,1
153,No,FR,MANUFACTURING,27335509.0,,Large or Very large company,1,1,1,1,1
154,No,ES,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",125272061.14,3.0,Large or Very large company,1,1,0,1,1
155,Yes,DK,INFORMATION AND COMMUNICATION,6798347.45333408,53.0,Large or Very large company,1,0,1,1,1
157,No,DE,MANUFACTURING,64735498.01,387.0,Large or Very large company,1,1,0,1,1
158,No,DE,FINANCIAL AND INSURANCE ACTIVITIES,101200.0,,Large or Very large company,1,1,0,0,1
159,Yes,DK,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,,141.0,Large or Very large company,1,0,1,0,1
160,No,ES,CONSTRUCTION,10498513.17,170.0,Large or Very large company,1,1,0,1,0
162,No,NL,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,126496041.0,16.0,Large or Very large company,1,1,1,0,1
163,No,DE,MANUFACTURING,147353636.91,430.0,Large or Very large company,1,1,0,1,1
166,No,DE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,,295.0,Large or Very large company,1,1,1,0,1
167,No,IT,MANUFACTURING,13157351.0,73.0,Large or Very large company,0,0,0,1,1
168,No,BE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",132072000.0,252.0,Large or Very large company,0,0,0,0,0
170,No,RO,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",13228990.351877,217.0,Large or Very large company,0,0,1,1,0
171,No,IE,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,24209729.0,22.0,Large or Very large company,1,1,1,1,0
172,No,BE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,9041325.0,47.0,Large or Very large company,1,1,1,1,1
173,No,IT,MANUFACTURING,35425604.0,147.0,Large or Very large company,1,0,0,0,1
174,No,DE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",12389898.32,113.0,Large or Very large company,1,1,1,1,1
175,No,DE,OTHER SERVICE ACTIVITIES,13673592.14,181.0,Large or Very large company,1,1,0,1,1
176,No,DE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",4085784.85,42.0,Large or Very large company,1,1,1,1,0
177,No,IE,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,7733142.0,,Large or Very large company,1,1,1,1,1
178,No,DE,MANUFACTURING,274146200.0,1221.0,Large or Very large company,1,1,1,1,1
179,No,PT,MANUFACTURING,14350816.57,132.0,Large or Very large company,1,0,0,0,0
180,No,IT,INFORMATION AND COMMUNICATION,330954454.0,841.0,Large or Very large company,0,1,1,1,0
182,No,FR,MINING AND QUARRYING,11195508.0,155.0,Large or Very large company,1,1,1,0,1
183,No,IE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",126060981.0,96.0,Large or Very large company,1,1,1,1,1
184,No,AT,MANUFACTURING,72636718.31,224.0,Large or Very large company,0,0,0,0,0
185,No,NL,MANUFACTURING,68783285.0,37.0,Large or Very large company,1,1,1,1,1
187,No,SK,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,77539937.0,,Large or Very large company,1,1,1,0,0
188,No,IE,FINANCIAL AND INSURANCE ACTIVITIES,23409873.0,258.0,Large or Very large company,1,1,1,1,1
189,No,IE,MANUFACTURING,34263447.0,42.0,Large or Very large company,1,1,1,1,1
190,No,NL,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,,46.0,Large or Very large company,1,1,1,1,1
191,No,IT,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,1267081000.0,146.0,Large or Very large company,0,1,0,1,0
192,No,CZ,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,112363765.757787,,Large or Very large company,1,0,1,1,1
193,No,IT,INFORMATION AND COMMUNICATION,36597408.0,361.0,Large or Very large company,0,1,1,0,0
194,No,ES,MANUFACTURING,14960276.0,60.0,Large or Very large company,0,1,0,0,0
195,No,FR,FINANCIAL AND INSURANCE ACTIVITIES,0.0,,Large or Very large company,1,1,0,1,1
196,No,SE,FINANCIAL AND INSURANCE ACTIVITIES,73672.2242678387,1.0,Large or Very large company,1,1,1,1,1
197,No,FR,MANUFACTURING,384403300.0,699.0,Large or Very large company,1,0,1,1,1
198,No,FI,INFORMATION AND COMMUNICATION,19096000.0,127.0,Large or Very large company,1,1,1,0,0
199,No,IT,MANUFACTURING,23919025.0,90.0,Large or Very large company,1,1,0,1,1
200,Yes,ES,FINANCIAL AND INSURANCE ACTIVITIES,546.79,,Large or Very large company,1,1,0,0,1
201,No,IT,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,29502806.0,27.0,Large or Very large company,1,1,1,1,1
202,No,CZ,MANUFACTURING,6374046.82768109,72.0,Large or Very large company,0,0,0,0,1
203,No,FI,REAL ESTATE ACTIVITIES,55631000.0,4.0,Large or Very large company,0,0,0,0,0
204,Yes,ES,INFORMATION AND COMMUNICATION,8279000.0,26.0,Large or Very large company,1,0,0,1,1
206,No,DE,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,,151.0,Large or Very large company,0,0,0,0,0
207,No,ES,MANUFACTURING,10560342.08,77.0,Large or Very large company,0,0,0,0,0
208,No,DK,TRANSPORTATION AND STORAGE,16884530.5765261,18.0,Large or Very large company,1,1,1,1,1
209,No,DE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,200.0,Large or Very large company,1,1,1,0,1
210,No,LU,FINANCIAL AND INSURANCE ACTIVITIES,36834.0,,Large or Very large company,1,1,1,1,1
211,No,DE,MANUFACTURING,,1037.0,Large or Very large company,0,1,0,1,1
212,No,SE,MANUFACTURING,149023545.869849,231.0,Large or Very large company,0,1,0,1,1
